"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Deals","0","UX","8","0","Stuffed Crust","0"
"1","","0","","0","0","","0"
"0","Deals","0","UI","3","0","Calories toggle","0"
"0","Deals","0","Deal add","2","0","Adding deal to basket","0"
"0","Deals","0","UX","4","0","Filters","0"
"0","Deals","0","UX","1","0","Slot editing","0"
"0","Deals","0","Validation","1","0","Adding unfinished deal","0"
"0","Deals","0","UX","1","0","Item list opens automatically","0"
"0","Deals","0","Deal add","1","0","Correct price","0"
"0","Deals","0","Validation","1","0","Correct size","0"
"0","Deals","0","UI","2","0","Terms & Conditions displayed","0"
"0","Deals","0","UX","2","0","Allergen Manager","0"
"0","Deals","1","Deal add","0","0","Correct size","0"
"0","Deals","0","UI","1","0","Discount displayed","0"
